Plant Name,Time,Production (W)
Wilkne,2022-07-16 05:30,0
Wilkne,2022-07-16 05:45,26
Wilkne,2022-07-16 06:00,109
Wilkne,2022-07-16 06:15,242
Wilkne,2022-07-16 06:30,359
Wilkne,2022-07-16 06:45,623
Wilkne,2022-07-16 07:00,830
Wilkne,2022-07-16 07:15,1158
Wilkne,2022-07-16 07:30,1387
Wilkne,2022-07-16 07:45,1619
Wilkne,2022-07-16 08:00,777
Wilkne,2022-07-16 08:15,1913
Wilkne,2022-07-16 08:30,2055
Wilkne,2022-07-16 08:45,2220
Wilkne,2022-07-16 09:00,2369
Wilkne,2022-07-16 09:15,2508
Wilkne,2022-07-16 09:30,2643
Wilkne,2022-07-16 09:45,2742
Wilkne,2022-07-16 10:00,2843
Wilkne,2022-07-16 10:15,2914
Wilkne,2022-07-16 10:30,2976
Wilkne,2022-07-16 10:45,3038
Wilkne,2022-07-16 11:00,3043
Wilkne,2022-07-16 11:15,3060
Wilkne,2022-07-16 11:30,3061
Wilkne,2022-07-16 11:45,3038
Wilkne,2022-07-16 12:00,3012
Wilkne,2022-07-16 12:15,2972
Wilkne,2022-07-16 12:30,2904
Wilkne,2022-07-16 12:45,2836
Wilkne,2022-07-16 13:00,2818
Wilkne,2022-07-16 13:15,2710
Wilkne,2022-07-16 13:30,2560
Wilkne,2022-07-16 13:45,2493
Wilkne,2022-07-16 14:00,2410
Wilkne,2022-07-16 14:15,2482
Wilkne,2022-07-16 14:30,873
Wilkne,2022-07-16 14:45,996
Wilkne,2022-07-16 15:00,802
Wilkne,2022-07-16 15:15,614
Wilkne,2022-07-16 15:30,692
Wilkne,2022-07-16 15:45,491
Wilkne,2022-07-16 16:00,466
Wilkne,2022-07-16 16:15,809
Wilkne,2022-07-16 16:30,319
Wilkne,2022-07-16 16:45,271
Wilkne,2022-07-16 17:00,81
Wilkne,2022-07-16 17:15,71
Wilkne,2022-07-16 17:30,19
Wilkne,2022-07-16 17:45,0
Wilkne,2022-07-16 18:00,0
Wilkne,2022-07-16 18:15,0
Wilkne,2022-07-17 05:45,20
Wilkne,2022-07-17 06:00,156
Wilkne,2022-07-17 06:15,307
Wilkne,2022-07-17 06:30,501
Wilkne,2022-07-17 06:45,427
Wilkne,2022-07-17 07:00,832
Wilkne,2022-07-17 07:15,1062
Wilkne,2022-07-17 07:30,1283
Wilkne,2022-07-17 07:45,1500
Wilkne,2022-07-17 08:00,1706
Wilkne,2022-07-17 08:15,1900
Wilkne,2022-07-17 08:30,2081
Wilkne,2022-07-17 08:45,2234
Wilkne,2022-07-17 09:00,2398
Wilkne,2022-07-17 09:15,2540
Wilkne,2022-07-17 09:30,2682
Wilkne,2022-07-17 09:45,2841
Wilkne,2022-07-17 10:00,3158
Wilkne,2022-07-17 10:15,1231
Wilkne,2022-07-17 10:30,3407
Wilkne,2022-07-17 10:45,1388
Wilkne,2022-07-17 11:00,3825
Wilkne,2022-07-17 11:15,1429
Wilkne,2022-07-17 11:30,2101
Wilkne,2022-07-17 11:45,1751
Wilkne,2022-07-17 12:00,2026
Wilkne,2022-07-17 12:15,1736
Wilkne,2022-07-17 12:30,1605
Wilkne,2022-07-17 12:45,1523
Wilkne,2022-07-17 13:00,1848
Wilkne,2022-07-17 13:15,2417
Wilkne,2022-07-17 13:30,1506
Wilkne,2022-07-17 13:45,1603
Wilkne,2022-07-17 14:00,1358
Wilkne,2022-07-17 14:15,1518
Wilkne,2022-07-17 14:30,2944
Wilkne,2022-07-17 14:45,1231
Wilkne,2022-07-17 15:00,926
Wilkne,2022-07-17 15:15,903
Wilkne,2022-07-17 15:30,531
Wilkne,2022-07-17 15:45,1380
Wilkne,2022-07-17 16:00,960
Wilkne,2022-07-17 16:15,411
Wilkne,2022-07-17 16:30,335
Wilkne,2022-07-17 16:45,244
Wilkne,2022-07-17 17:00,97
Wilkne,2022-07-17 17:15,58
Wilkne,2022-07-17 17:30,21
Wilkne,2022-07-17 17:45,0
Wilkne,2022-07-17 18:00,0
Wilkne,2022-07-18 05:30,0
Wilkne,2022-07-18 05:45,28
Wilkne,2022-07-18 06:00,114
Wilkne,2022-07-18 06:15,242
Wilkne,2022-07-18 06:30,371
Wilkne,2022-07-18 06:45,565
Wilkne,2022-07-18 07:00,844
Wilkne,2022-07-18 07:15,1053
Wilkne,2022-07-18 07:30,1283
Wilkne,2022-07-18 07:45,1516
Wilkne,2022-07-18 08:00,1728
Wilkne,2022-07-18 08:15,1936
Wilkne,2022-07-18 08:30,2116
Wilkne,2022-07-18 08:45,2282
Wilkne,2022-07-18 09:00,2434
